month	week	day	value
5	1	0	44
5	1	1	103
5	1	2	99
5	1	3	246
5	1	4	190
5	1	5	303
5	1	6	107
5	2	7	63
5	2	8	10
5	2	9	45
5	2	10	45
5	2	11	9
5	2	12	31
5	2	13	25
5	3	14	11
5	3	15	23
5	3	16	10
5	3	17	4
5	3	18	12
5	3	19	4
5	3	20	0
5	4	21	0
5	4	22	6
5	4	23	13
5	4	24	0
5	4	25	2
5	4	26	0
5	4	27	0
5	5	28	2
5	5	29	4
5	5	30	0
