month	week	day	value
1	1	0	80
1	1	1	97
1	1	2	22
1	1	3	4
1	1	4	17
1	1	5	10
1	1	6	43
1	2	7	147
1	2	8	73
1	2	9	41
1	2	10	38
1	2	11	6
1	2	12	45
1	2	13	2
1	3	14	0
1	3	15	11
1	3	16	80
1	3	17	39
1	3	18	17
1	3	19	32
1	3	20	13
1	4	21	4
1	4	22	2
1	4	23	8
1	4	24	93
1	4	25	169
1	4	26	15
1	4	27	43
1	5	28	11
1	5	29	0
1	5	30	13
