month	week	day	value
7	1	0	0
7	1	1	0
7	1	2	0
7	1	3	0
7	1	4	0
7	1	5	0
7	1	6	2
7	2	7	0
7	2	8	0
7	2	9	0
7	2	10	0
7	2	11	0
7	2	12	0
7	2	13	0
7	3	14	0
7	3	15	0
7	3	16	0
7	3	17	0
7	3	18	2
7	3	19	0
7	3	20	0
7	4	21	0
7	4	22	54
7	4	23	205
7	4	24	510
7	4	25	0
7	4	26	0
7	4	27	0
7	5	28	0
7	5	29	0
7	5	30	0
